isolate,otu,mode,ehb,species,replicate,total.count,germ.total.count,germ.total.prop,col.total.count,col.total.prop,col.1.count,col.1.prop,col.2.count,col.2.prop,col.3.count,col.3.prop,col.4.count,col.4.prop,col.combined.total,col.combined.prop,ungerm.total.count,germ.2wk.count,germ.2wk.prop,germ.3wk.count,germ.3wk.prop,germ.4wk.count,germ.4wk.prop,germ.5wk.count,germ.5wk.prop,germ.6wk.count,germ.6wk.prop,germ.7wk.count,germ.7wk.prop,viable.7wk.count,viable.7wk.total,viable.7wk.prop
control,NA,NA,NA,Cecropia_peltata,8,20,0,0,2,0.1,2,0.1,0,0,0,0,0,0,2,0.03,20,5,0.25,5,0.25,5,0.25,5,0.25,5,0.25,5,0.25,6,15,0.4
control,NA,NA,NA,Cecropia_peltata,9,20,0,0,3,0.15,3,0.15,0,0,0,0,0,0,3,0.04,20,4,0.2,5,0.25,5,0.25,5,0.25,5,0.25,5,0.25,9,15,0.6
control,NA,NA,NA,Cecropia_peltata,10,20,0,0,2,0.1,2,0.1,0,0,0,0,0,0,2,0.03,20,3,0.15,3,0.15,3,0.15,3,0.15,3,0.15,3,0.15,7,17,0.41
control,NA,NA,NA,Ochroma_pyramidale,1,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,2,0.1,18,18,1
control,NA,NA,NA,Ochroma_pyramidale,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Ochroma_pyramidale,3,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,1,0.05,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,18,18,1
control,NA,NA,NA,Ochroma_pyramidale,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0.05,19,19,1
control,NA,NA,NA,Ochroma_pyramidale,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Ochroma_pyramidale,6,20,2,0.1,20,1,0,0,0,0,0,0,20,1,80,1,18,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1
control,NA,NA,NA,Ochroma_pyramidale,7,20,0,0,9,0.45,7,0.35,2,0.1,0,0,0,0,11,0.14,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Ochroma_pyramidale,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Ochroma_pyramidale,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Ochroma_pyramidale,10,20,1,0.05,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,19,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,2,0.11,19,19,1
control,NA,NA,NA,Trema_micrantha_brown,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0.4
control,NA,NA,NA,Trema_micrantha_brown,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0.55
control,NA,NA,NA,Trema_micrantha_brown,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0.4
control,NA,NA,NA,Trema_micrantha_brown,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0.45
control,NA,NA,NA,Trema_micrantha_brown,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0.5
control,NA,NA,NA,Trema_micrantha_brown,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0.5
control,NA,NA,NA,Trema_micrantha_brown,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0.45
control,NA,NA,NA,Trema_micrantha_brown,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0.5
control,NA,NA,NA,Trema_micrantha_brown,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0.4
control,NA,NA,NA,Trema_micrantha_brown,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0.35
